C,C1,C2
4.699999999999999e-10,0,4.699999999999999e-10
4.699999999999999e-10,4.699999999999999e-10,0
4.72e-10,3.9e-10,8.2e-11
4.72e-10,8.2e-11,3.9e-10
4.799999999999999e-10,4.699999999999999e-10,1e-11
4.799999999999999e-10,1e-11,4.699999999999999e-10
4.8e-10,1.5e-10,3.3e-10
4.8e-10,3.3e-10,1.5e-10
4.819999999999999e-10,4.699999999999999e-10,1.2e-11
4.819999999999999e-10,1.2e-11,4.699999999999999e-10
4.849999999999999e-10,4.699999999999999e-10,1.5e-11
4.849999999999999e-10,1.5e-11,4.699999999999999e-10
4.88e-10,4.699999999999999e-10,1.8e-11
4.88e-10,1.8e-11,4.699999999999999e-10
4.9e-10,9.999999999999999e-11,3.9e-10
4.9e-10,2.2e-10,2.7e-10
4.9e-10,2.7e-10,2.2e-10
4.9e-10,3.9e-10,9.999999999999999e-11
4.92e-10,4.699999999999999e-10,2.1999999999999998e-11
4.92e-10,2.1999999999999998e-11,4.699999999999999e-10
4.969999999999999e-10,4.699999999999999e-10,2.7e-11
4.969999999999999e-10,2.7e-11,4.699999999999999e-10
5.029999999999999e-10,4.699999999999999e-10,3.3e-11
5.029999999999999e-10,3.3e-11,4.699999999999999e-10
5.089999999999999e-10,4.699999999999999e-10,3.9e-11
5.089999999999999e-10,3.9e-11,4.699999999999999e-10
5.1e-10,1.2e-10,3.9e-10
5.1e-10,1.8e-10,3.3e-10
5.1e-10,3.3e-10,1.8e-10
5.1e-10,3.9e-10,1.2e-10
5.17e-10,4.699999999999999e-10,4.7e-11
5.17e-10,4.7e-11,4.699999999999999e-10
5.259999999999999e-10,4.699999999999999e-10,5.6e-11
5.259999999999999e-10,5.6e-11,4.699999999999999e-10
5.379999999999999e-10,4.699999999999999e-10,6.8e-11
5.379999999999999e-10,6.8e-11,4.699999999999999e-10
5.4e-10,1.5e-10,3.9e-10
5.4e-10,2.7e-10,2.7e-10
5.4e-10,3.9e-10,1.5e-10
5.5e-10,2.2e-10,3.3e-10
5.5e-10,3.3e-10,2.2e-10
5.52e-10,4.699999999999999e-10,8.2e-11
5.52e-10,8.2e-11,4.699999999999999e-10
5.599999999999999e-10,0,5.599999999999999e-10
5.599999999999999e-10,5.599999999999999e-10,0
